log_header, utc_hhmmss, pos_status, lat, lat_dir, lon, lon_dir, speed_kn, track_true, dt, mag_var, var_dir, checksum
$GPRMC,071857.00,A,4923.325667,N,02141.921681,E,043.8,203.9,030619,,,A*54
$GPRMC,071858.00,A,4923.314858,N,02141.912911,E,042.2,205.3,030619,,,A*5A
$GPRMC,071859.00,A,4923.304599,N,02141.904346,E,039.7,204.8,030619,,,A*56
$GPRMC,071900.00,A,4923.294364,N,02141.896787,E,040.3,204.8,030619,,,A*5E
$GPRMC,071901.00,A,4923.283829,N,02141.889368,E,041.9,205.1,030619,,,A*53
$GPRMC,071902.00,A,4923.273023,N,02141.881824,E,043.0,207.1,030619,,,A*5F
$GPRMC,071903.00,A,4923.262776,N,02141.873349,E,041.1,207.7,030619,,,A*51
$GPRMC,071904.00,A,4923.252915,N,02141.864920,E,041.5,207.5,030619,,,A*5B
$GPRMC,071905.00,A,4923.243908,N,02141.857924,E,034.7,203.7,030619,,,A*54
$GPRMC,071906.00,A,4923.236058,N,02141.852763,E,032.2,202.4,030619,,,A*50
$GPRMC,071907.00,A,4923.227836,N,02141.847797,E,034.2,204.9,030619,,,A*53
$GPRMC,071908.00,A,4923.219362,N,02141.842069,E,034.6,205.2,030619,,,A*56
$GPRMC,071909.00,A,4923.210707,N,02141.836626,E,034.7,203.1,030619,,,A*53
$GPRMC,071910.00,A,4923.201864,N,02141.830897,E,035.3,202.7,030619,,,A*51
$GPRMC,071911.00,A,4923.192782,N,02141.825188,E,035.7,202.2,030619,,,A*5C
$GPRMC,071912.00,A,4923.183827,N,02141.819337,E,034.9,201.2,030619,,,A*5A
$GPRMC,071913.00,A,4923.174252,N,02141.814077,E,035.4,198.3,030619,,,A*5F
$GPRMC,071914.00,A,4923.165078,N,02141.809251,E,033.9,197.3,030619,,,A*5C
$GPRMC,071915.00,A,4923.156427,N,02141.804950,E,032.5,198.0,030619,,,A*55
$GPRMC,071916.00,A,4923.147785,N,02141.800377,E,034.8,199.1,030619,,,A*5D
$GPRMC,071917.00,A,4923.138256,N,02141.795076,E,036.8,199.8,030619,,,A*55
$GPRMC,071918.00,A,4923.126835,N,02141.788989,E,045.1,197.8,030619,,,A*5C
$GPRMC,071919.00,A,4923.113617,N,02141.782883,E,051.2,195.1,030619,,,A*59
$GPRMC,071920.00,A,4923.099521,N,02141.777308,E,054.5,195.1,030619,,,A*56
